pr_title,reviewer,submitted_at,state,body
feat(uptime): Fetch rdap after subscription creation,evanpurkhiser,2024-09-14 00:35:01+00:00,COMMENTED,
feat(flags): attach flags in sentry's frontend to events,michellewzhang,2024-09-14 15:23:05+00:00,COMMENTED,
fix(issues): Align streamlined event id,JoshFerge,2024-09-13 23:00:50+00:00,APPROVED,
chore(issues): Move issues endpoints to issues,JoshFerge,2024-09-13 23:42:05+00:00,APPROVED,
fix(custom-views): Align hover state of overflow menu with add view button,scttcper,2024-09-13 22:54:07+00:00,APPROVED,
fix(issues): Fix incorrect API docs for statsPeriod,JoshFerge,2024-09-13 22:05:44+00:00,APPROVED,
fix(issues): Fix incorrect API docs for statsPeriod,schew2381,2024-09-13 22:06:02+00:00,APPROVED,
fix(similarity): Return failure reason from multithread seer call,JoshFerge,2024-09-13 21:54:15+00:00,APPROVED,
fix(ui): Remove team slug from settings search,michellewzhang,2024-09-13 21:46:51+00:00,APPROVED,
test(performance): Rearrange trace keyboard test,evanpurkhiser,2024-09-13 21:09:24+00:00,APPROVED,
feat(uptime): Add fetch_subscription_rdap_info task,evanpurkhiser,2024-09-13 21:07:09+00:00,COMMENTED,
fix(onboarding): Open replay panel in quick start action,evanpurkhiser,2024-09-13 20:24:31+00:00,APPROVED,
ref(feedback): disallow shimming reports w/missing event,JoshFerge,2024-09-13 20:24:02+00:00,COMMENTED,"we used to use this but found when you create user reports with no environment, etc. it does not work well. i'd advocate for simply removing this codepath"
fix(query-builder): Stop text from being overwritten when pasting,JoshFerge,2024-09-13 20:17:17+00:00,APPROVED,
fix(custom-views): Change cursor for tab to pointer everywhere,JoshFerge,2024-09-13 20:16:12+00:00,APPROVED,
ref: add warmup to wsgi,asottile-sentry,2024-09-13 20:12:45+00:00,COMMENTED,
feat(eap): Use RPC to fetch tag values,wmak,2024-09-13 20:19:38+00:00,APPROVED,"nit: around referrer name, comments, lgtm otherwise"
feat(replays): Pack video and recording data into the same payload,bruno-garcia,2024-09-13 20:24:28+00:00,COMMENTED,
chore(apidocs): Fix inconsistencies in replay docs,michellewzhang,2024-09-13 20:53:20+00:00,APPROVED,
chore(apidocs): id -> ID,iamrajjoshi,2024-09-13 19:50:00+00:00,APPROVED,![Squish LGTM](https://media3.giphy.com/media/PYS9of5NOhSGZ7HPpE/giphy.gif?cid=47028fa8sx12d824xrvy8zo8bq3w00f23hoj11gqqzus7q0f&ep=v1_gifs&rid=giphy.gif&ct=g)
chore(apidocs): Make UserRole related endpoints private,iamrajjoshi,2024-09-13 19:44:52+00:00,APPROVED,`UserUserRoleDetailsEndpoint` lol
:wrench: chore(discord): Remove validate user Option,cathteng,2024-09-13 19:23:00+00:00,APPROVED,
chore(users): Move User base endpoint file to users directory,Christinarlong,2024-09-13 19:03:56+00:00,COMMENTED,
fix(anomaly detection): update alert list status to be the same as details page,ceorourke,2024-09-13 20:25:55+00:00,APPROVED,
chore(crons): Remove sentry monitor decorator from run_escalating_forecast job,mrduncan,2024-09-13 19:02:49+00:00,APPROVED,
fix(anomaly detection): get aggregation key from snuba data,ceorourke,2024-09-13 20:25:45+00:00,COMMENTED,
ref(js): Missed one DateTime defualt export,billyvg,2024-09-13 18:54:27+00:00,APPROVED,
drop(grouping): A few more post-hierarchical code removals,armenzg,2024-09-13 18:35:55+00:00,COMMENTED,
